,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
1120,14204,120,0,154111.1111,29193.19,26483.02
1121,14206,330,80,136370.5882,25099.88,23132.27
1122,14207,170,30,144328.5714,27160.75,24860.36
1123,14208,70,80,154475.0,29263.75,26503.5
1124,14209,300,0,136830.4348,22761.91,21867.45
1125,14210,190,50,188622.2222,39141.47,36876.61
1126,14211,120,70,128171.4286,22134.88,20401.04
1127,14212,90,50,160680.0,31124.35,28640.7
1128,14213,220,520,125950.0,21776.54,20085.89
1129,14214,770,160,140967.2727,24965.81,23354.3
1130,14215,510,60,131046.875,22677.49,20858.13
1131,14216,1080,80,139004.0541,24810.58,23149.69
1132,14217,1210,30,130796.6292,23101.58,21656.38
1133,14218,450,30,132793.1034,23690.77,22193.32
1134,14219,490,150,131358.3333,23383.97,21757.18
1135,14220,960,40,133368.4211,24356.16,22373.0
1136,14221,5640,130,138905.3191,24007.16,23035.18
1137,14222,780,120,140621.0526,24393.21,23196.48
1138,14223,1510,20,131752.5424,23223.5,21805.48
1139,14224,3060,0,132910.75699999998,23125.01,22011.3
1140,14225,1150,30,126930.7692,22253.63,20746.33
1141,14226,2210,140,137074.1758,23798.85,22760.44
1142,14227,1190,70,127954.023,22315.38,21022.92
1143,14228,1300,20,137351.4019,23915.37,22737.02
1144,14301,140,0,153500.0,28647.75,26475.5
1145,14304,1400,40,132204.717,23239.07,21818.84
1146,14305,450,2110,135796.875,24201.88,22695.16
1147,14411,420,60,129506.6667,22459.18,21113.5
1148,14414,510,20,130918.1818,22548.17,21525.94
1149,14416,260,30,140530.0,25087.31,23785.17
1150,14418,70,200,136800.0,23403.35,22801.5
1151,14420,1070,40,133640.9091,22967.32,21974.12
1152,14422,160,20,169000.0,31815.64,30342.83
1153,14423,280,60,133790.0,23622.77,22265.98
1154,14424,1880,0,135743.87099999998,22977.91,22118.03
1155,14425,900,70,133963.0137,23275.54,21914.12
1156,14427,90,30,149516.6667,27949.15,25889.5
1157,14428,780,440,132182.0896,22618.67,21598.37
1158,14432,290,130,130142.8571,22680.1,21456.77
1159,14433,170,40,157990.0,29342.73,27992.53
1160,14435,220,60,136666.6667,23444.1,22582.44
1161,14437,390,20,132761.5385,23153.51,21983.43
1162,14445,270,40,128836.3636,21778.04,20884.89
1163,14450,4770,120,138504.6296,23675.39,22987.61
1164,14454,550,0,135851.1628,23161.17,22219.04
1165,14456,860,50,133904.6875,23104.31,21939.32
1166,14462,50,60,135500.0,24851.42,22945.5
1167,14464,370,30,131778.5714,23048.55,21745.08
1168,14466,130,20,142255.5556,25289.69,23867.83
